pl_name,pl_bmassj,pl_radj,pl_orbsmax,pl_orbper,pl_eqt,pl_dens,st_teff,st_rad,st_mass,st_logg,st_age,sy_dist
"GJ 3470 b",0.04373407,0.40770809,0.0355000000,3.33664960000,593.50,0.800000,3600.00,0.547000,0.539000,4.695000,1.6500,29.42140000
"HAT-P-11 b",0.07870000,0.38897315,0.0525800000,4.88800000000,838.00,1.172000,4653.00,0.683000,0.811000,4.663000,2.6900,37.76470000
"HAT-P-32 b",0.68000000,1.98000000,0.0339700000,2.15000820000,1835.70,0.108000,6001.00,1.367000,1.132000,4.220000,2.7000,289.20500000
"HD 189733 b",1.13000000,1.13000000,0.0312600000,2.21857567000,1209.00,0.943000,5052.00,0.750000,0.790000,4.490000,1.4000,19.76380000
"HD 209458 b",0.73000000,1.39000000,0.0470700000,3.52474859000,1459.00,0.362000,6091.00,1.190000,1.230000,4.450000,3.1000,48.30160000
"WASP-107 b",0.09600000,0.94000000,0.0550000000,5.72148760000,736.00,0.134000,4425.00,0.657000,0.683000,4.633000,3.4000,64.74140000
"WASP-52 b",0.46000000,1.27000000,0.0272000000,1.74977980000,1315.00,0.290000,5000.00,0.790000,0.870000,4.582000,0.4000,174.81800000
"WASP-69 b",0.26000000,1.00000000,0.0453000000,3.86813881000,971.00,0.291000,4792.00,0.801000,0.830000,4.570000,1.8000,49.96050000
